time_s,encoder_count,q_ref_deg,q_link_deg,error_deg,qdot_link_deg_s,error_dot_deg_s,tau_pd_joint_Nm,tau_motor_cmd_Nm,target_torque_permille,actual_torque_permille,actual_torque_Nm,velocity_motor_rpm_606C,current_actual_mA,current_avg_mA,estimated_current_cmd_A,mode_display
2.592e-06,236,40,0.259277,39.7407,0,0,40,0.5,468,-1,-0.001068,0,-6,0,7.02247,10
0.0389912,254,40,0.279053,39.7209,0.507209,-0.507209,40,0.5,468,467,0.498756,162,7003,6988,7.02247,10
0.075156,927,40,1.01843,38.9816,20.4448,-20.4448,40,0.5,468,468,0.499824,396,6915,7015,7.02247,10
0.108164,2020,40,2.21924,37.7808,36.379,-36.379,40,0.5,468,472,0.504096,546,7134,7021,7.02247,10
0.144973,3361,40,3.6925,36.3075,40.0252,-40.0252,40,0.5,468,470,0.50196,612,7078,7014,7.02247,10
0.178935,4831,40,5.3075,34.6925,47.5522,-47.5522,40,0.5,468,472,0.504096,674,7073,7016,7.02247,10
0.210942,6316,40,6.93896,33.061,50.9726,-50.9726,40,0.5,468,470,0.50196,693,7055,7022,7.02247,10
0.242995,7864,40,8.63965,31.3604,53.0583,-53.0583,40,0.5,468,461,0.492348,733,6982,7019,7.02247,10
0.276921,9566,40,10.5095,29.4905,55.1164,-55.1164,40,0.5,468,472,0.504096,738,7006,7023,7.02247,10
0.308921,11213,40,12.319,27.681,56.5458,-56.5458,40,0.5,468,472,0.504096,753,6938,7018,7.02247,10
0.339894,12852,40,14.1196,25.8804,58.136,-58.136,40,0.5,468,476,0.508368,767,7036,7021,7.02247,10
0.371918,14564,40,16.0005,23.9995,58.732,-58.732,40,0.5,468,463,0.494484,777,6981,7022,7.02247,10
0.404911,16335,40,17.9462,22.0538,58.9728,-58.9728,40,0.5,468,472,0.504096,794,6989,7024,7.02247,10
0.448343,18744,40,20.5928,19.4072,60.9368,-60.9368,40,0.5,468,472,0.504096,800,7067,7024,7.02247,10
0.485079,20756,40,22.8032,17.1968,60.1712,-60.1712,40,0.5,468,472,0.504096,821,7012,7023,7.02247,10
0.520728,22862,40,25.1169,14.8831,64.9029,-64.9029,40,0.5,468,461,0.492348,828,6935,7018,7.02247,10
0.559206,24935,40,27.3944,12.6056,59.1897,-59.1897,40,0.5,468,471,0.503028,834,7022,7023,7.02247,10
0.592025,26820,40,29.4653,10.5347,63.1,-63.1,40,0.5,468,467,0.498756,840,6982,7017,7.02247,10
0.626841,28776,40,31.6143,8.38574,61.7225,-61.7225,40,0.5,468,465,0.49662,842,7005,7021,7.02247,10
0.661972,30766,40,33.8005,6.19946,62.233,-62.233,30.8781,0.385976,361,464,0.495552,841,7030,7017,5.42102,10
0.695972,32714,40,35.9407,4.05933,62.9443,-62.9443,9.12111,0.114014,107,366,0.390888,799,5384,5423,1.60132,10
0.729952,34502,40,37.905,2.09497,57.8089,-57.8089,-7.95474,-0.0994342,-93,106,0.113208,638,1650,1633,-1.39655,10
0.764037,35725,40,39.2487,0.751343,39.4203,-39.4203,-12.1967,-0.152459,-143,-90,-0.09612,292,-1449,-1376,-2.14127,10
0.797923,36143,40,39.7079,0.292114,13.5523,-13.5523,-3.85501,-0.0481876,-45,-143,-0.152724,0,-2138,-2134,-0.676793,10
0.829843,36060,40,39.6167,0.383301,-2.85671,2.85671,5.26136,0.0657671,62,-46,-0.049128,-56,-700,-683,0.923695,10
0.859972,35970,40,39.5178,0.482178,-3.28181,3.28181,6.46268,0.0807835,76,61,0.065148,-6,936,920,1.1346,10
0.891933,36006,40,39.5574,0.442627,1.23745,-1.23745,3.80755,0.0475943,45,77,0.082236,34,1083,1140,0.66846,10
0.924855,36094,40,39.6541,0.345947,2.93664,-2.93664,1.99115,0.0248894,23,44,0.046992,35,672,678,0.349571,10
0.957922,36139,40,39.7035,0.296509,1.49512,-1.49512,2.21753,0.0277191,26,24,0.025632,0,351,346,0.389314,10
0.991845,36133,40,39.6969,0.303101,-0.194316,0.194316,3.12816,0.039102,37,24,0.025632,-1,391,390,0.549186,10
1.02192,36133,40,39.6969,0.303101,0,0,3.03101,0.0378876,35,37,0.039516,0,519,554,0.532129,10
1.05528,36134,40,39.698,0.302002,0.0329301,-0.0329301,3.00355,0.0375444,35,33,0.035244,0,541,526,0.527309,10
1.08994,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,537,525,0.5302,10
1.12497,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,554,525,0.5302,10
1.15794,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,533,525,0.5302,10
1.18892,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,494,525,0.5302,10
1.21992,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,498,525,0.5302,10
1.2501,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,554,525,0.5302,10
1.28918,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,506,526,0.5302,10
1.32096,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,498,525,0.5302,10
1.356,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,533,525,0.5302,10
1.39394,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,537,525,0.5302,10
1.42693,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,554,526,0.5302,10
1.45792,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,498,525,0.5302,10
1.48993,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,537,525,0.5302,10
1.51993,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,533,525,0.5302,10
1.55092,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,524,525,0.5302,10
1.58192,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,506,525,0.5302,10
1.61193,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,506,525,0.5302,10
1.64192,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,498,525,0.5302,10
1.67733,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,519,525,0.5302,10
1.71908,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,541,525,0.5302,10
1.75302,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,533,525,0.5302,10
1.78908,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,533,525,0.5302,10
1.81995,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,519,525,0.5302,10
1.85193,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,571,525,0.5302,10
1.88296,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,494,526,0.5302,10
1.91493,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,537,525,0.5302,10
1.94637,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,515,525,0.5302,10
1.983,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,506,526,0.5302,10
2.01596,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,541,525,0.5302,10
2.04897,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,524,525,0.5302,10
2.08294,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,533,525,0.5302,10
2.11298,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,511,526,0.5302,10
2.14498,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,502,525,0.5302,10
2.17493,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,507,525,0.5302,10
2.20496,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,546,525,0.5302,10
2.23695,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,511,525,0.5302,10
2.26996,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,558,525,0.5302,10
2.30398,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,533,525,0.5302,10
2.33811,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,537,525,0.5302,10
2.37307,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,541,525,0.5302,10
2.40698,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,511,526,0.5302,10
2.44106,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,528,525,0.5302,10
2.474,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,533,525,0.5302,10
2.50888,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,541,525,0.5302,10
2.54295,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,485,525,0.5302,10
2.57489,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,32,0.034176,0,515,525,0.5302,10
2.60797,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,502,524,0.5302,10
2.64088,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,533,525,0.5302,10
2.67399,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,541,525,0.5302,10
2.70697,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,537,525,0.5302,10
2.73789,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,511,525,0.5302,10
2.76795,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,481,526,0.5302,10
2.80128,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,519,524,0.5302,10
2.83893,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,524,525,0.5302,10
2.87495,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,524,525,0.5302,10
2.91205,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,507,525,0.5302,10
2.94393,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,532,526,0.5302,10
2.97495,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,537,525,0.5302,10
3.00699,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,528,525,0.5302,10
3.0389,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,511,525,0.5302,10
3.07142,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,537,525,0.5302,10
3.11222,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,533,525,0.5302,10
3.14418,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,567,525,0.5302,10
3.177,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,502,525,0.5302,10
3.20799,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,32,0.034176,0,537,525,0.5302,10
3.24004,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,502,525,0.5302,10
3.27099,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,511,525,0.5302,10
3.30301,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,494,525,0.5302,10
3.33405,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,558,525,0.5302,10
3.36902,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,533,524,0.5302,10
3.39999,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,507,525,0.5302,10
3.42996,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,515,525,0.5302,10
3.46115,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,481,525,0.5302,10
3.49805,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,519,525,0.5302,10
3.53499,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,537,525,0.5302,10
3.56606,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,554,525,0.5302,10
3.59905,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,511,525,0.5302,10
3.63302,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,533,525,0.5302,10
3.6668,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,502,525,0.5302,10
3.70928,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,524,525,0.5302,10
3.747,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,38,0.040584,0,541,525,0.5302,10
3.78105,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,519,525,0.5302,10
3.81402,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,541,525,0.5302,10
3.84593,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,498,525,0.5302,10
3.877,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,541,525,0.5302,10
3.91122,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,31,0.033108,0,515,525,0.5302,10
3.94211,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,528,525,0.5302,10
3.97399,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,506,525,0.5302,10
4.00532,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,528,525,0.5302,10
4.03699,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,554,525,0.5302,10
4.06964,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,515,525,0.5302,10
4.10205,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,537,525,0.5302,10
4.13494,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,519,525,0.5302,10
4.17004,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,533,525,0.5302,10
4.19995,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,515,525,0.5302,10
4.23202,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,563,525,0.5302,10
4.26399,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,554,525,0.5302,10
4.29493,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,528,525,0.5302,10
4.33429,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,554,525,0.5302,10
4.36907,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,511,525,0.5302,10
4.40503,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,537,525,0.5302,10
4.43906,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,524,526,0.5302,10
4.47404,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,498,525,0.5302,10
4.50715,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,554,525,0.5302,10
4.5411,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,498,525,0.5302,10
4.57399,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,545,525,0.5302,10
4.60702,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,511,526,0.5302,10
4.64005,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,511,525,0.5302,10
4.67611,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,524,525,0.5302,10
4.70896,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,524,526,0.5302,10
4.74412,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,537,525,0.5302,10
4.7815,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,558,525,0.5302,10
4.81823,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,519,525,0.5302,10
4.85705,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,502,525,0.5302,10
4.89116,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,528,525,0.5302,10
4.92627,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,550,525,0.5302,10
4.96097,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,506,525,0.5302,10
4.99604,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,528,525,0.5302,10
5.03016,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,524,525,0.5302,10
5.06213,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,502,525,0.5302,10
5.09602,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,541,525,0.5302,10
5.13303,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,533,525,0.5302,10
5.17125,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,506,525,0.5302,10
5.20812,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,537,525,0.5302,10
5.24407,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,515,525,0.5302,10
5.27805,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,524,525,0.5302,10
5.31202,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,519,525,0.5302,10
5.34402,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,524,525,0.5302,10
5.37503,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,515,525,0.5302,10
5.40602,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,511,526,0.5302,10
5.43704,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,524,525,0.5302,10
5.474,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,502,525,0.5302,10
5.51105,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,533,526,0.5302,10
5.54203,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,511,525,0.5302,10
5.57601,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,537,525,0.5302,10
5.60905,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,533,525,0.5302,10
5.64004,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,546,526,0.5302,10
5.67006,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,32,0.034176,0,519,525,0.5302,10
5.70228,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,558,525,0.5302,10
5.73711,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,515,526,0.5302,10
5.76909,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,533,525,0.5302,10
5.80104,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,537,525,0.5302,10
5.83207,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,533,525,0.5302,10
5.86405,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,541,525,0.5302,10
5.89625,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,503,525,0.5302,10
5.92805,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,32,0.034176,0,515,525,0.5302,10
5.95996,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,537,525,0.5302,10
5.99807,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,519,525,0.5302,10
6.03325,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,519,525,0.5302,10
6.06507,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,32,0.034176,0,515,525,0.5302,10
6.09508,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,519,525,0.5302,10
6.12605,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,533,525,0.5302,10
6.15706,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,38,0.040584,0,498,525,0.5302,10
6.18707,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,519,525,0.5302,10
6.21699,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,533,525,0.5302,10
6.25231,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,506,525,0.5302,10
6.28507,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,528,525,0.5302,10
6.31908,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,506,525,0.5302,10
6.35405,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,550,526,0.5302,10
6.38709,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,32,0.034176,0,511,525,0.5302,10
6.418,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,515,526,0.5302,10
6.45198,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,507,525,0.5302,10
6.48209,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,32,0.034176,0,558,525,0.5302,10
6.51207,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,537,525,0.5302,10
6.54198,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,511,525,0.5302,10
6.57199,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,32,0.034176,0,519,524,0.5302,10
6.60811,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,524,525,0.5302,10
6.64311,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,528,525,0.5302,10
6.6742,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,541,525,0.5302,10
6.7061,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,502,525,0.5302,10
6.74009,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,528,525,0.5302,10
6.774,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,541,525,0.5302,10
6.8081,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,515,525,0.5302,10
6.84208,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,485,526,0.5302,10
6.87928,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,33,0.035244,0,524,525,0.5302,10
6.91504,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,511,526,0.5302,10
6.95011,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,36,0.038448,0,524,526,0.5302,10
6.98412,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,507,525,0.5302,10
7.01812,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,32,0.034176,0,545,525,0.5302,10
7.05202,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,506,525,0.5302,10
7.0871,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,524,525,0.5302,10
7.12303,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,546,526,0.5302,10
7.16032,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,32,0.034176,0,537,525,0.5302,10
7.19504,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,528,525,0.5302,10
7.22912,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,37,0.039516,0,485,526,0.5302,10
7.26314,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,35,0.03738,0,533,525,0.5302,10
7.29617,36134,40,39.698,0.302002,0,0,3.02002,0.0377502,35,34,0.036312,0,502,525,0.5302,10
