time_s,encoder_count,q_ref_deg,q_link_deg,error_deg,qdot_link_deg_s,error_dot_deg_s,tau_pd_joint_raw_Nm,tau_pd_joint_clamped_Nm,tau_motor_cmd_Nm,target_torque_permille,actual_torque_permille,actual_torque_Nm,velocity_motor_rpm_606C,current_actual_mA,current_avg_mA,estimated_current_cmd_A,mode_display
3.776e-06,110,40,0.12085,39.8792,0,0,398.792,40,0.5,468,-1,-0.001068,0,96,-2,7.02247,10
0.0411101,134,40,0.147217,39.8528,0.641439,-0.641439,398.271,40,0.5,468,468,0.499824,153,7023,6993,7.02247,10
0.0729835,643,40,0.706421,39.2936,17.5445,-17.5445,385.918,40,0.5,468,471,0.503028,357,6980,7009,7.02247,10
0.105768,1540,40,1.69189,38.3081,30.0589,-30.0589,371.057,40,0.5,468,465,0.49662,482,6958,7018,7.02247,10
0.143824,2850,40,3.1311,36.8689,37.8185,-37.8185,353.562,40,0.5,468,466,0.497688,559,7032,7012,7.02247,10
0.175822,4115,40,4.52087,35.4791,43.4323,-43.4323,337.418,40,0.5,468,469,0.500892,612,7019,7016,7.02247,10
0.208826,5529,40,6.07434,33.9257,47.0696,-47.0696,320.429,40,0.5,468,467,0.498756,648,6791,7024,7.02247,10
0.241736,6987,40,7.67615,32.3239,48.673,-48.673,303.769,40,0.5,468,468,0.499824,662,7011,7023,7.02247,10
0.27485,8516,40,9.35596,30.644,50.7273,-50.7273,286.15,40,0.5,468,470,0.50196,690,7005,7016,7.02247,10
0.31182,10259,40,11.2709,28.7291,51.7967,-51.7967,266.573,40,0.5,468,471,0.503028,703,7047,7014,7.02247,10
0.350993,12155,40,13.3539,26.6461,53.1746,-53.1746,245.191,40,0.5,468,467,0.498756,713,7000,7022,7.02247,10
0.383914,13786,40,15.1458,24.8542,54.4289,-54.4289,226.771,40,0.5,468,465,0.49662,720,6957,7018,7.02247,10
0.417879,15470,40,16.9958,23.0042,54.4712,-54.4712,208.253,40,0.5,468,473,0.505164,728,7022,7025,7.02247,10
0.450742,17104,40,18.791,21.209,54.6249,-54.6249,190.24,40,0.5,468,490,0.52332,724,7012,7021,7.02247,10
0.486889,18918,40,20.7839,19.2161,55.1348,-55.1348,170.107,40,0.5,468,472,0.504096,735,7030,7022,7.02247,10
0.521813,20704,40,22.7461,17.2539,56.183,-56.183,150.066,40,0.5,468,465,0.49662,740,7041,7016,7.02247,10
0.558858,22588,40,24.8159,15.1841,55.8728,-55.8728,129.492,40,0.5,468,469,0.500892,744,7017,7016,7.02247,10
0.591938,24292,40,26.688,13.312,56.5924,-56.5924,110.483,40,0.5,468,468,0.499824,770,7030,7019,7.02247,10
0.625827,26049,40,28.6183,11.3817,56.9592,-56.9592,91.0334,40,0.5,468,472,0.504096,775,6977,7020,7.02247,10
0.65778,27713,40,30.4464,9.55359,57.213,-57.213,72.6507,40,0.5,468,471,0.503028,774,6991,7024,7.02247,10
0.691862,29487,40,32.3954,7.60461,57.186,-57.186,53.1718,40,0.5,468,470,0.50196,765,7077,7016,7.02247,10
0.727741,31374,40,34.4685,5.53149,57.7796,-57.7796,32.2031,32.2031,0.402539,377,473,0.505164,759,7011,7024,5.65363,10
0.763939,33255,40,36.535,3.46497,57.0896,-57.0896,11.8138,11.8138,0.147673,138,377,0.402636,757,5605,5665,2.07406,10
0.799825,34997,40,38.4489,1.55115,53.3316,-53.3316,-5.82117,-5.82117,-0.0727646,-68,139,0.148452,584,2152,2084,-1.02198,10
0.835985,36216,40,39.7881,0.211914,37.0362,-37.0362,-12.6954,-12.6954,-0.158692,-149,-66,-0.070488,312,-1090,-996,-2.22882,10
0.870833,36608,40,40.2188,-0.21875,12.3583,-12.3583,-7.13083,-7.13083,-0.0891353,-83,-145,-0.15486,8,-2281,-2227,-1.2519,10
0.905877,36492,40,40.0913,-0.0913086,-3.6366,3.6366,0.541556,0.541556,0.00676945,6,-85,-0.09078,-80,-1261,-1247,0.0950765,10
0.939814,36318,40,39.9001,0.0998535,-5.63294,5.63294,3.25171,3.25171,0.0406464,38,6,0.006408,-31,113,86,0.570876,10
0.976934,36293,40,39.8727,0.127319,-0.739912,0.739912,1.56916,1.56916,0.0196145,18,38,0.040584,16,579,570,0.275484,10
1.01194,36334,40,39.9177,0.0822754,1.28682,-1.28682,0.308028,0.308028,0.00385035,4,20,0.02136,12,282,271,0.0540779,10
1.04606,36347,40,39.932,0.0679932,0.418558,-0.418558,0.512509,0.512509,0.00640636,6,3,0.003204,-5,44,56,0.0899769,10
1.0849,36342,40,39.9265,0.0734863,-0.14144,0.14144,0.791439,0.791439,0.00989299,9,6,0.006408,0,111,90,0.138947,10
1.12195,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,10,0.01068,0,146,135,0.129014,10
1.16093,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,9,0.009612,0,112,136,0.129014,10
1.19604,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,9,0.009612,0,135,135,0.129014,10
1.23212,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,11,0.011748,0,146,136,0.129014,10
1.26589,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,8,0.008544,0,124,135,0.129014,10
1.2999,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,10,0.01068,0,147,134,0.129014,10
1.3358,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,7,0.007476,0,134,135,0.129014,10
1.37154,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,10,0.01068,0,112,135,0.129014,10
1.40795,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,8,0.008544,0,154,136,0.129014,10
1.44592,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,7,0.007476,0,102,135,0.129014,10
1.48098,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,11,0.011748,0,111,135,0.129014,10
1.51688,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,11,0.011748,0,170,135,0.129014,10
1.54996,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,11,0.011748,0,124,136,0.129014,10
1.58502,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,10,0.01068,0,148,136,0.129014,10
1.61687,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,8,0.008544,0,146,134,0.129014,10
1.64998,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,11,0.011748,0,124,135,0.129014,10
1.69403,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,8,0.008544,0,193,135,0.129014,10
1.72788,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,11,0.011748,0,122,135,0.129014,10
1.76098,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,8,0.008544,0,170,135,0.129014,10
1.79501,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,10,0.01068,0,134,134,0.129014,10
1.82986,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,9,0.009612,0,112,135,0.129014,10
1.86385,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,12,0.012816,0,133,135,0.129014,10
1.8989,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,9,0.009612,0,135,134,0.129014,10
1.93089,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,10,0.01068,0,121,134,0.129014,10
1.9618,36342,40,39.9265,0.0734863,0,0,0.734863,0.734863,0.00918579,9,8,0.008544,0,147,135,0.129014,10
